# GET [h], theta [deg], phi [deg]
224.76772,96.133075,128.54115
224.76862,96.122979,128.53744
224.76952,96.112861,128.53372
224.77042,96.102772,128.53001
224.77132,96.092695,128.52629
224.7723,96.081844,128.52231
224.7732,96.071789,128.51859
224.7741,96.061749,128.51487
224.775,96.051706,128.51114
224.77591,96.041697,128.50745
224.77681,96.031668,128.50371
224.77771,96.021683,128.49999
224.77861,96.01169,128.49625
224.77951,96.001729,128.49252
224.78041,95.991777,128.4888
224.78139,95.981056,128.48479
224.78229,95.97111,128.48105
224.78319,95.961198,128.47732
224.7841,95.958363,128.45785
224.785,95.959519,128.42947
224.7859,95.960651,128.40107
224.7868,95.961796,128.37266
224.7877,95.962931,128.34425
224.7886,95.964083,128.31582
224.78958,95.965297,128.2852
224.79048,95.966422,128.25674
224.79138,95.967528,128.22826
224.7923,95.968639,128.19981
224.7932,95.969744,128.17131
224.7941,95.970866,128.1428
224.795,95.971984,128.11428
224.7959,95.973079,128.08575
224.7968,95.974154,128.05718
224.79778,95.975337,128.02644
224.79868,95.976401,127.99784
224.79958,95.977494,127.96927
224.80049,95.98717,127.94798
224.80139,96.014165,127.94138
224.80229,96.041154,127.93477
224.80319,96.068138,127.92818
224.8041,96.095158,127.92162
224.805,96.122161,127.91503
224.80591,96.149191,127.90848
224.80687,96.178289,127.90139
224.80779,96.205327,127.89485
224.80869,96.232364,127.88829
224.80959,96.259429,127.88175
224.81049,96.286473,127.8752
224.81139,96.31354,127.86865
224.81229,96.340614,127.86212
224.8132,96.367691,127.85562
224.8141,96.394774,127.84909
224.81506,96.423963,127.84206
224.81598,96.451033,127.83556
224.81688,96.476948,127.82913
224.81778,96.453766,127.82448
224.81868,96.430608,127.81986
224.81958,96.407427,127.81524
224.82048,96.384269,127.81064
224.8214,96.361079,127.80606
224.8223,96.337899,127.80145
224.8232,96.314742,127.79686
224.82417,96.289785,127.79191
224.82507,96.266626,127.78734
224.82597,96.243445,127.78276
224.82687,96.220264,127.77819
224.82777,96.197105,127.77363
224.82867,96.173924,127.76907
224.82959,96.150747,127.76456
224.83049,96.127565,127.76001
224.83139,96.104405,127.75548
224.83237,96.079438,127.75062
224.83327,96.056263,127.74609
224.83417,96.060273,127.74934
224.83507,96.075042,127.75566
224.83597,96.089806,127.76199
224.83687,96.104571,127.76831
224.83778,96.119316,127.77465
224.83868,96.134092,127.781
224.83958,96.148852,127.78735
224.84048,96.163612,127.79369
224.84146,96.179487,127.80053
224.84236,96.194242,127.80689
224.84326,96.208999,127.81325
224.84416,96.223769,127.81962
224.84506,96.238506,127.82598
224.84598,96.253247,127.83238
224.84688,96.267999,127.83876
224.84778,96.282749,127.84514
224.84868,96.297494,127.85153
224.84966,96.313367,127.85842
224.85056,96.328819,127.86482
224.85146,96.3453,127.87124
224.85236,96.361757,127.87764
224.85327,96.378228,127.88408
224.85417,96.3947,127.89052
224.85507,96.411159,127.89694
224.85597,96.427618,127.90338
224.85687,96.444064,127.9098
224.85777,96.460523,127.91624
224.85875,96.478253,127.92322
224.85965,96.494682,127.92966
224.86055,96.511145,127.93612
224.86147,96.527551,127.9426
224.86237,96.54401,127.94907
224.86327,96.560452,127.95554
224.86417,96.576881,127.96201
224.86507,96.593325,127.96849
224.86597,96.609763,127.97499
224.86694,96.627233,127.98199
224.86784,96.641485,127.9886
224.86874,96.65575,127.99523
224.86966,96.670001,128.00189
224.87056,96.684251,128.00852
224.87146,96.698507,128.01515
224.87236,96.71276,128.0218
224.87326,96.727014,128.02844
224.87416,96.741286,128.03511
224.87508,96.755529,128.04179
224.87604,96.770878,128.04895
224.87694,96.785122,128.0556
224.87785,96.799387,128.0623
224.87875,96.813643,128.06898
224.87965,96.827882,128.07565
224.88055,96.84213,128.08233
224.88145,96.856375,128.08901
224.88235,96.870622,128.0957
224.88327,96.884854,128.10243
224.88423,96.878685,128.09181
224.88513,96.86577,128.07601
224.88605,96.852882,128.06028
224.88695,96.839962,128.04448
224.88785,96.827072,128.0287
224.88875,96.814149,128.0129
224.88965,96.801257,127.99711
224.89055,96.78834,127.98132
224.89146,96.77539,127.96551
224.89236,96.762472,127.9497
224.89333,96.748565,127.93269
224.89424,96.73562,127.91688
224.89514,96.722699,127.90107
224.89604,96.709757,127.88525
224.89694,96.69682,127.86943
224.89784,96.683881,127.8536
224.89874,96.67094,127.83777
224.89966,96.657967,127.82196
224.90056,96.632971,127.81483
224.90154,96.587286,127.82074
224.90244,96.544877,127.82625
224.90334,96.502483,127.83177
224.90424,96.460094,127.83733
224.90514,96.417694,127.84288
224.90604,96.375348,127.8485
224.90695,96.332998,127.85413
224.90785,96.290664,127.85978
224.90875,96.248341,127.86545
224.90965,96.206035,127.87114
224.91063,96.160471,127.87731
224.91153,96.11819,127.88305
224.91243,96.075921,127.88881
224.91333,96.033663,127.89461
224.91423,95.99142,127.90042
224.91515,95.94918,127.90628
224.91605,95.90696,127.91215
224.91695,95.870365,127.91858
224.91785,95.883736,127.93002
224.91882,95.898132,127.94232
224.91972,95.911485,127.95376
224.92062,95.924864,127.96521
224.92152,95.938215,127.97665
224.92242,95.951554,127.9881
224.92334,95.964885,127.99958
224.92514,95.991566,128.0225
224.92604,96.004881,128.03396
224.92694,96.01821,128.04543
224.92792,96.032539,128.05779
224.92882,96.045843,128.06926
224.92972,96.059145,128.08074
224.93062,96.072433,128.09222
224.93153,96.085742,128.10373
224.93243,96.099031,128.11521
224.93333,96.112303,128.12671
224.93423,96.103497,128.12147
224.93513,96.08896,128.11188
224.93611,96.073273,128.10157
224.93701,96.058699,128.09196
224.93791,96.044154,128.08239
224.93881,96.029575,128.0728
224.93973,96.015,128.06323
224.94063,96.000412,128.05364
224.94153,95.985846,128.04405
224.94243,95.971248,128.03446
224.94333,95.956649,128.02486
224.94423,95.94207,128.01527
224.9452,95.92634,128.00494
224.9461,95.911728,127.99534
224.94702,95.897113,127.98578
224.94792,95.882494,127.97618
224.94882,95.867866,127.96658
224.94972,95.85326,127.95699
224.95062,95.855429,127.94737
224.95152,95.87536,127.93771
224.95242,95.895321,127.92806
224.9534,95.916812,127.91768
224.9543,95.93678,127.90803
224.95522,95.956754,127.89842
224.95612,95.976716,127.88876
224.95702,95.996703,127.87912
224.95792,96.016695,127.86949
224.95882,96.036695,127.85985
224.95972,96.056703,127.8502
224.96063,96.076686,127.84057
224.96431,96.158316,127.80131
224.96521,96.178353,127.79169
224.96611,96.1984,127.78206
224.96701,96.218761,127.77489
224.96791,96.240638,127.77915
224.96883,96.262482,127.78343
224.96973,96.284368,127.78771
224.97069,96.307949,127.79232
224.9716,96.329823,127.79661
224.9725,96.351716,127.80091
224.9734,96.373615,127.80522
224.9743,96.395503,127.80953
224.9752,96.417419,127.81386
224.9761,96.439339,127.8182
224.97702,96.461233,127.82256
224.97792,96.483155,127.82691
224.97888,96.506779,127.83159
224.9798,96.528688,127.83598
224.9807,96.550632,127.84036
224.9816,96.572552,127.84474
224.9825,96.594513,127.84914
224.9834,96.616464,127.85354
224.9843,96.605498,127.86267
224.98521,96.58962,127.8725
224.98611,96.573753,127.88234
224.98701,96.557884,127.89218
224.98799,96.540812,127.90281
224.98889,96.524955,127.91266
224.98979,96.509118,127.92251
224.99069,96.493282,127.93238
224.9916,96.477438,127.94226
224.9925,96.461612,127.95214
224.99341,96.445774,127.96203
224.99431,96.429998,127.97194
224.99521,96.414182,127.98183
224.99619,96.397138,127.99249
224.99709,96.381363,128.00241
224.99799,96.365573,128.01233
224.99889,96.349782,128.02224
224.99979,96.333998,128.03215
225.0007,96.338847,128.03874
225.0016,96.35974,128.04271
225.0025,96.380645,128.04669
225.0034,96.40154,128.05066
225.0043,96.422435,128.05463
225.00528,96.44496,128.05895
225.00618,96.465862,128.06295
225.00708,96.48677,128.06694
225.00798,96.507666,128.07094
225.0089,96.528558,128.07497
225.0098,96.549473,128.07899
225.0107,96.570402,128.08302
225.0116,96.591313,128.08704
225.0125,96.612228,128.09106
225.01347,96.634733,128.0954
225.01437,96.655637,128.09943
225.01527,96.676574,128.10349
225.01617,96.697478,128.10752
225.01709,96.703123,128.11219
225.01799,96.664138,128.11853
225.01889,96.625172,128.12492
225.01979,96.586213,128.1313
225.02069,96.547268,128.13772
225.02159,96.508307,128.14413
