# GET [h], theta [deg], phi [deg]
224.76772,9.7948676,-171.34199
224.76862,9.743126,-171.30845
224.76952,9.6913888,-171.27458
224.77042,9.6396898,-171.2406
224.77132,9.5880178,-171.20643
224.7723,9.5322262,-171.16814
224.7732,9.4806067,-171.13355
224.7741,9.4290121,-171.09879
224.775,9.377438,-171.06376
224.77591,9.3257486,-171.02745
224.77681,9.274221,-170.99195
224.77771,9.2227344,-170.95641
224.77861,9.1712667,-170.92054
224.77951,9.1198354,-170.88454
224.78041,9.0684243,-170.84833
224.78139,9.0129185,-170.8077
224.78229,8.9615564,-170.77089
224.78319,8.9102266,-170.73398
224.7841,8.8759516,-170.70014
224.785,8.8515316,-170.66998
224.7859,8.8271121,-170.6396
224.7868,8.802709,-170.60921
224.7877,8.7783139,-170.57868
224.7886,8.753942,-170.54814
224.78958,8.7275303,-170.51372
224.79048,8.7031683,-170.48287
224.79138,8.6787993,-170.45185
224.7923,8.654162,-170.41826
224.7932,8.6298212,-170.38704
224.7941,8.6055005,-170.35581
224.795,8.5811906,-170.32445
224.7959,8.556876,-170.29288
224.7968,8.5325641,-170.26112
224.79778,8.5062567,-170.22557
224.79868,8.4819575,-170.19355
224.79958,8.4576935,-170.16154
224.80049,8.4433794,-170.14949
224.80139,8.449564,-170.18174
224.80229,8.455766,-170.2141
224.80319,8.4619858,-170.24655
224.8041,8.468112,-170.27803
224.805,8.4743857,-170.31082
224.80591,8.4805584,-170.34259
224.80687,8.4874974,-170.37941
224.80779,8.4935792,-170.41025
224.80869,8.4999616,-170.44367
224.80959,8.5063792,-170.47736
224.81049,8.5128023,-170.51107
224.81139,8.5192648,-170.54498
224.81229,8.5257551,-170.57904
224.8132,8.5321271,-170.61199
224.8141,8.5386608,-170.64633
224.81506,8.5458587,-170.68467
224.81598,8.5521552,-170.71674
224.81688,8.5588063,-170.74221
224.81778,8.566777,-170.38764
224.81868,8.5751081,-170.03404
224.81958,8.5837721,-169.68118
224.82048,8.5928016,-169.32934
224.8214,8.6018921,-168.97583
224.8223,8.6115941,-168.62577
224.8232,8.6216494,-168.27681
224.82417,8.6328419,-167.90194
224.82507,8.6436029,-167.55507
224.82597,8.654692,-167.20913
224.82687,8.6661118,-166.86428
224.82777,8.6778771,-166.52063
224.82867,8.6899587,-166.17801
224.82959,8.7021408,-165.83405
224.83049,8.7148803,-165.49374
224.83139,8.7279607,-165.1547
224.83237,8.7422713,-164.78947
224.83327,8.7560134,-164.45289
224.83417,8.7538294,-164.34555
224.83507,8.7452698,-164.32875
224.83597,8.7367228,-164.31206
224.83687,8.7281873,-164.29553
224.83778,8.7195534,-164.27777
224.83868,8.7110563,-164.26157
224.83958,8.7025719,-164.24539
224.84048,8.6941052,-164.22937
224.84146,8.6848662,-164.21084
224.84236,8.6764296,-164.19507
224.84326,8.66801,-164.17944
224.84416,8.6596067,-164.16404
224.84506,8.651209,-164.14858
224.84598,8.6426035,-164.13082
224.84688,8.6342447,-164.11571
224.84778,8.6258956,-164.10076
224.84868,8.6175613,-164.08588
224.84966,8.6084849,-164.06866
224.85056,8.5972526,-164.06731
224.85146,8.5818046,-164.0853
224.85236,8.5663592,-164.10341
224.85327,8.5508272,-164.12061
224.85417,8.535418,-164.13929
224.85507,8.5200233,-164.15815
224.85597,8.5046438,-164.17725
224.85687,8.4892786,-164.19652
224.85777,8.4739272,-164.21614
224.85875,8.4573069,-164.2362
224.85965,8.4419828,-164.25615
224.86055,8.426685,-164.27654
224.86147,8.4111654,-164.29439
224.86237,8.3959011,-164.31525
224.86327,8.3806505,-164.33627
224.86417,8.3654034,-164.35748
224.86507,8.3501887,-164.37902
224.86597,8.3349792,-164.40078
224.86694,8.3196195,-164.41971
224.86784,8.314468,-164.39603
224.86874,8.3093407,-164.37254
224.86966,8.3039992,-164.34665
224.87056,8.2988891,-164.32336
224.87146,8.2938031,-164.3002
224.87236,8.2887308,-164.27716
224.87326,8.2836715,-164.25425
224.87416,8.2786372,-164.23156
224.87508,8.2733821,-164.20642
224.87604,8.2680803,-164.18329
224.87694,8.2630802,-164.16084
224.87785,8.2579953,-164.13742
224.87875,8.253022,-164.11531
224.87965,8.2480626,-164.09322
224.88055,8.2431225,-164.0713
224.88145,8.2381913,-164.04952
224.88235,8.2332741,-164.02787
224.88327,8.2281597,-164.00379
224.88423,8.210807,-163.87368
224.88513,8.1906017,-163.71509
224.88605,8.1702752,-163.5535
224.88695,8.1502232,-163.39352
224.88785,8.130252,-163.23304
224.88875,8.1103404,-163.07171
224.88965,8.0905215,-162.90988
224.89055,8.0707614,-162.74723
224.89146,8.0509648,-162.58246
224.89236,8.0313564,-162.41845
224.89333,8.0103232,-162.24097
224.89424,7.9907657,-162.07412
224.89514,7.9713917,-161.90798
224.89604,7.9520941,-161.741
224.89694,7.9328671,-161.57337
224.89784,7.913718,-161.40506
224.89874,7.8946453,-161.23603
224.89966,7.8754534,-161.06353
224.90056,7.8499814,-160.80853
224.90154,7.8125403,-160.3981
224.90244,7.7782498,-160.01498
224.90334,7.7443235,-159.62875
224.90424,7.7107746,-159.23928
224.90514,7.6775848,-158.84654
224.90604,7.644798,-158.45087
224.90695,7.6123051,-158.0506
224.90785,7.5802871,-157.64853
224.90875,7.548664,-157.24327
224.90965,7.5174402,-156.83491
