#GET [h], A15_xpos-J2000[km], A15_ypos-J2000[km], A15_zpos-J2000[km], A15_xvel-J2000[km/s], A15_yvel-J2000[km/s], A15_zvel-J2000[km/s],XRay_point_RA [h], XRay_point_DEC [deg]
224.76772,105698.55,-321795.57,-159714.84,-0.58938473,0.75620613,0.053059857,22.131868,-70.556124
224.76862,105696.64,-321793.12,-159714.67,-0.58901407,0.75623476,0.053252572,22.136469,-70.530553
224.76952,105694.73,-321790.67,-159714.5,-0.58864398,0.75626322,0.053444849,22.141061,-70.504929
224.77042,105692.82,-321788.22,-159714.32,-0.58827446,0.7562915,0.053636688,22.145637,-70.479279
224.77132,105690.91,-321785.77,-159714.15,-0.58790551,0.7563196,0.053828088,22.1502,-70.453595
224.7723,105688.84,-321783.1,-159713.96,-0.5875044,0.75635,0.054036004,22.155094,-70.425902
224.7732,105686.93,-321780.65,-159713.78,-0.58713664,0.75637773,0.05422649,22.159629,-70.400141
224.7741,105685.03,-321778.19,-159713.61,-0.58676944,0.75640528,0.054416539,22.164152,-70.374348
224.775,105683.13,-321775.74,-159713.43,-0.58640281,0.75643265,0.054606151,22.168664,-70.348517
224.77591,105681.2,-321773.26,-159713.25,-0.58603268,0.75646014,0.054797426,22.173152,-70.322667
224.77681,105679.3,-321770.81,-159713.08,-0.5856672,0.75648714,0.05498616,22.177639,-70.296761
224.77771,105677.4,-321768.36,-159712.9,-0.58530228,0.75651395,0.055174458,22.182108,-70.270833
224.77861,105675.51,-321765.91,-159712.72,-0.58493793,0.75654059,0.055362321,22.186569,-70.24487
224.77951,105673.61,-321763.45,-159712.54,-0.58457415,0.75656703,0.055549749,22.191012,-70.218876
224.78041,105671.72,-321761,-159712.36,-0.58421094,0.75659329,0.055736742,22.195442,-70.192842
224.78139,105669.65,-321758.33,-159712.16,-0.58381609,0.75662167,0.055939862,22.200195,-70.164779
224.78229,105667.76,-321755.88,-159711.98,-0.58345407,0.75664754,0.056125947,22.204602,-70.138675
224.78319,105665.87,-321753.42,-159711.8,-0.58309262,0.75667321,0.056311598,22.208993,-70.112543
224.7841,105663.96,-321750.94,-159711.62,-0.58272772,0.75669898,0.056498871,22.214277,-70.107757
224.785,105662.07,-321748.49,-159711.43,-0.58236742,0.75672427,0.05668365,22.220088,-70.114964
224.7859,105660.18,-321746.04,-159711.25,-0.58200768,0.75674937,0.056867996,22.225909,-70.122098
224.7868,105658.29,-321743.59,-159711.06,-0.58164851,0.75677427,0.05705191,22.231738,-70.129177
224.7877,105656.41,-321741.13,-159710.88,-0.5812899,0.75679898,0.057235391,22.237575,-70.136187
224.7886,105654.52,-321738.68,-159710.69,-0.58093187,0.75682349,0.057418441,22.24342,-70.143152
224.78958,105652.47,-321736.01,-159710.49,-0.58054266,0.75684996,0.05761727,22.249722,-70.150583
224.79048,105650.59,-321733.56,-159710.3,-0.58018582,0.75687407,0.057799417,22.255588,-70.15741
224.79138,105648.71,-321731.1,-159710.12,-0.57982955,0.75689797,0.057981134,22.261466,-70.164161
224.7923,105646.79,-321728.59,-159709.93,-0.57946595,0.7569222,0.058166444,22.267339,-70.170882
224.7932,105644.91,-321726.14,-159709.74,-0.57911083,0.7569457,0.058347289,22.273234,-70.177516
224.7941,105643.03,-321723.69,-159709.55,-0.57875628,0.756969,0.058527705,22.279134,-70.184093
224.795,105641.16,-321721.23,-159709.36,-0.5784023,0.75699209,0.058707691,22.285043,-70.190608
