#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
224.76772,121.71448,133.1381,9.7948676,-171.34199,96.133075,128.54115
224.76862,121.70185,133.15163,9.743126,-171.30845,96.122979,128.53744
224.76952,121.68919,133.16514,9.6913888,-171.27458,96.112861,128.53372
224.77042,121.67654,133.17865,9.6396898,-171.2406,96.102772,128.53001
224.77132,121.6639,133.19217,9.5880178,-171.20643,96.092695,128.52629
224.7723,121.65028,133.20671,9.5322262,-171.16814,96.081844,128.52231
224.7732,121.63763,133.22023,9.4806067,-171.13355,96.071789,128.51859
224.7741,121.62499,133.23373,9.4290121,-171.09879,96.061749,128.51487
224.775,121.61233,133.24723,9.377438,-171.06376,96.051706,128.51114
224.77591,121.5997,133.26075,9.3257486,-171.02745,96.041697,128.50745
224.77681,121.58704,133.27424,9.274221,-170.99195,96.031668,128.50371
224.77771,121.5744,133.28774,9.2227344,-170.95641,96.021683,128.49999
224.77861,121.56175,133.30123,9.1712667,-170.92054,96.01169,128.49625
224.77951,121.54912,133.31473,9.1198354,-170.88454,96.001729,128.49252
224.78041,121.53648,133.32823,9.0684243,-170.84833,95.991777,128.4888
224.78139,121.52287,133.34276,9.0129185,-170.8077,95.981056,128.48479
224.78229,121.51022,133.35624,8.9615564,-170.77089,95.97111,128.48105
224.78319,121.49759,133.36973,8.9102266,-170.73398,95.961198,128.47732
224.7841,121.49335,133.35989,8.8759516,-170.70014,95.958363,128.45785
224.785,121.49383,133.33687,8.8515316,-170.66998,95.959519,128.42947
224.7859,121.49429,133.31385,8.8271121,-170.6396,95.960651,128.40107
224.7868,121.49476,133.29083,8.802709,-170.60921,95.961796,128.37266
224.7877,121.49522,133.26782,8.7783139,-170.57868,95.962931,128.34425
224.7886,121.49568,133.24481,8.753942,-170.54814,95.964083,128.31582
224.78958,121.49616,133.22002,8.7275303,-170.51372,95.965297,128.2852
224.79048,121.4966,133.19699,8.7031683,-170.48287,95.966422,128.25674
224.79138,121.49701,133.17397,8.6787993,-170.45185,95.967528,128.22826
224.7923,121.49744,133.15095,8.654162,-170.41826,95.968639,128.19981
224.7932,121.49784,133.12792,8.6298212,-170.38704,95.969744,128.17131
224.7941,121.49826,133.1049,8.6055005,-170.35581,95.970866,128.1428
224.795,121.49867,133.08188,8.5811906,-170.32445,95.971984,128.11428
224.7959,121.49906,133.05886,8.556876,-170.29288,95.973079,128.08575
224.7968,121.49942,133.03581,8.5325641,-170.26112,95.974154,128.05718
224.79778,121.49984,133.01102,8.5062567,-170.22557,95.975337,128.02644
224.79868,121.50018,132.98797,8.4819575,-170.19355,95.976401,127.99784
224.79958,121.50055,132.96495,8.4576935,-170.16154,95.977494,127.96927
224.80049,121.51007,132.94622,8.4433794,-170.14949,95.98717,127.94798
224.80139,121.53804,132.93613,8.449564,-170.18174,96.014165,127.94138
224.80229,121.566,132.92603,8.455766,-170.2141,96.041154,127.93477
