# GET [h], RA [h], DEC [deg]
224.76772,12.181851,-16.877036
224.76862,12.181282,-16.912486
224.76952,12.180713,-16.94796
224.77042,12.180142,-16.983426
224.77132,12.179569,-17.018894
224.7723,12.178953,-17.057072
224.7732,12.178377,-17.092548
224.7741,12.1778,-17.128029
224.775,12.177222,-17.163517
224.77591,12.176642,-17.198971
224.77681,12.176062,-17.234471
224.77771,12.175478,-17.269959
224.77861,12.174894,-17.305457
224.77951,12.174308,-17.340947
224.78041,12.17372,-17.376446
224.78139,12.173087,-17.414656
224.78229,12.172497,-17.450165
224.78319,12.171905,-17.48567
224.7841,12.171409,-17.503965
224.785,12.170967,-17.512609
224.7859,12.170526,-17.521285
224.7868,12.170083,-17.529977
224.7877,12.16964,-17.538693
224.7886,12.169195,-17.547419
224.78958,12.168717,-17.55683
224.79048,12.168272,-17.565613
224.79138,12.167827,-17.574435
224.7923,12.167382,-17.583214
224.7932,12.166936,-17.592073
224.7941,12.166487,-17.600944
224.795,12.166038,-17.609835
224.7959,12.16559,-17.618763
224.7968,12.165141,-17.627721
224.79778,12.164657,-17.637346
224.79868,12.164207,-17.646357
224.79958,12.163756,-17.655363
224.80049,12.16301,-17.654222
224.80139,12.16167,-17.63265
224.80229,12.16033,-17.611081
224.80319,12.158991,-17.589517
224.8041,12.157651,-17.5679
224.805,12.156311,-17.546325
224.80591,12.154971,-17.524705
224.80687,12.153527,-17.501488
224.80779,12.152187,-17.479837
224.80869,12.150847,-17.45824
224.80959,12.149504,-17.436629
224.81049,12.148164,-17.415035
224.81139,12.146822,-17.393422
224.81229,12.14548,-17.371803
224.8132,12.144139,-17.350158
224.8141,12.142797,-17.328538
224.81506,12.14135,-17.30527
224.81598,12.140011,-17.283602
224.81688,12.138765,-17.261941
224.81778,12.141464,-17.239573
224.81868,12.144161,-17.217186
224.81958,12.146859,-17.19481
224.82048,12.149554,-17.172407
224.8214,12.152252,-17.149966
224.8223,12.154947,-17.12757
224.8232,12.157639,-17.105156
224.82417,12.160539,-17.081015
224.82507,12.16323,-17.058587
224.82597,12.165921,-17.036162
224.82687,12.168611,-17.013735
224.82777,12.171299,-16.991288
224.82867,12.173987,-16.968851
224.82959,12.176676,-16.946345
224.83049,12.179362,-16.923898
224.83139,12.182047,-16.901429
224.83237,12.184939,-16.877211
224.83327,12.187622,-16.854741
224.83417,12.18769,-16.844193
224.83507,12.186724,-16.838372
224.83597,12.185758,-16.832555
224.83687,12.184791,-16.826743
224.83778,12.183827,-16.820909
224.83868,12.18286,-16.815091
224.83958,12.181894,-16.809279
224.84048,12.180928,-16.803465
224.84146,12.17989,-16.797197
224.84236,12.178924,-16.791389
224.84326,12.177958,-16.78558
224.84416,12.176992,-16.77977
224.84506,12.176027,-16.773974
224.84598,12.175064,-16.768127
224.84688,12.174099,-16.762323
224.84778,12.173133,-16.756527
224.84868,12.172168,-16.750732
224.84966,12.17113,-16.744464
224.85056,12.170006,-16.741347
224.85146,12.168653,-16.742096
224.85236,12.167301,-16.74286
224.85327,12.165948,-16.74359
224.85417,12.164595,-16.744349
224.85507,12.163243,-16.745111
224.85597,12.16189,-16.745874
224.85687,12.160538,-16.74664
224.85777,12.159185,-16.747408
224.85875,12.157729,-16.748194
224.85965,12.156378,-16.748971
224.86055,12.155024,-16.749734
224.86147,12.153676,-16.750472
224.86237,12.152323,-16.751235
224.86327,12.15097,-16.752002
224.86417,12.149618,-16.752783
224.86507,12.148266,-16.753547
224.86597,12.146914,-16.754322
224.86694,12.145511,-16.754227
224.86784,12.144687,-16.745781
224.86874,12.143863,-16.737326
224.86966,12.14304,-16.728835
224.87056,12.142216,-16.720397
224.87146,12.141393,-16.71195
224.87236,12.140569,-16.703506
224.87326,12.139745,-16.695065
224.87416,12.13892,-16.686614
224.87508,12.138098,-16.678136
224.87604,12.13721,-16.669074
224.87694,12.136387,-16.66064
224.87785,12.135563,-16.652173
224.87875,12.134739,-16.643742
224.87965,12.133916,-16.635316
224.88055,12.133093,-16.626884
224.88145,12.13227,-16.61846
224.88235,12.131446,-16.610037
224.88327,12.130625,-16.601568
224.88423,12.130897,-16.606833
224.88513,12.131537,-16.616497
224.88605,12.132176,-16.626113
224.88695,12.132815,-16.635809
224.88785,12.133452,-16.645511
224.88875,12.134089,-16.65525
224.88965,12.134725,-16.664985
224.89055,12.135361,-16.674756
224.89146,12.135999,-16.684537
224.89236,12.136634,-16.694344
224.89333,12.137317,-16.704916
224.89424,12.137953,-16.714748
224.89514,12.138586,-16.724611
224.89604,12.139221,-16.734494
224.89694,12.139854,-16.744401
224.89784,12.140486,-16.754326
224.89874,12.141118,-16.764269
224.89966,12.141753,-16.774198
224.90056,12.143022,-16.792506
224.90154,12.145383,-16.825171
224.90244,12.147576,-16.855505
224.90334,12.149768,-16.885826
224.90424,12.151961,-16.916127
224.90514,12.154156,-16.946433
224.90604,12.156348,-16.976692
224.90695,12.158543,-17.00692
224.90785,12.160736,-17.037153
224.90875,12.16293,-17.067366
224.90965,12.165123,-17.097559
