# GET [h], theta [deg], phi [deg]
224.76772,121.71448,133.1381
224.76862,121.70185,133.15163
224.76952,121.68919,133.16514
224.77042,121.67654,133.17865
224.77132,121.6639,133.19217
224.7723,121.65028,133.20671
224.7732,121.63763,133.22023
224.7741,121.62499,133.23373
224.775,121.61233,133.24723
224.77591,121.5997,133.26075
224.77681,121.58704,133.27424
224.77771,121.5744,133.28774
224.77861,121.56175,133.30123
224.77951,121.54912,133.31473
224.78041,121.53648,133.32823
224.78139,121.52287,133.34276
224.78229,121.51022,133.35624
224.78319,121.49759,133.36973
224.7841,121.49335,133.35989
224.785,121.49383,133.33687
224.7859,121.49429,133.31385
224.7868,121.49476,133.29083
224.7877,121.49522,133.26782
224.7886,121.49568,133.24481
224.78958,121.49616,133.22002
224.79048,121.4966,133.19699
224.79138,121.49701,133.17397
224.7923,121.49744,133.15095
224.7932,121.49784,133.12792
224.7941,121.49826,133.1049
224.795,121.49867,133.08188
224.7959,121.49906,133.05886
224.7968,121.49942,133.03581
224.79778,121.49984,133.01102
224.79868,121.50018,132.98797
224.79958,121.50055,132.96495
224.80049,121.51007,132.94622
224.80139,121.53804,132.93613
224.80229,121.566,132.92603
224.80319,121.59396,132.91595
224.8041,121.62195,132.90587
224.805,121.64993,132.89579
224.80591,121.67793,132.88573
224.80687,121.70807,132.87489
224.80779,121.73609,132.86483
224.80869,121.76409,132.85478
224.80959,121.79212,132.84474
224.81049,121.82013,132.8347
224.81139,121.84817,132.82466
224.81229,121.87621,132.81462
224.8132,121.90425,132.80462
224.8141,121.9323,132.79458
224.81506,121.96252,132.78381
224.81598,121.99056,132.77378
224.81688,122.0175,132.76343
224.81778,121.99793,132.73795
224.81868,121.97836,132.71252
224.81958,121.95876,132.68709
224.82048,121.93916,132.66169
224.8214,121.91953,132.63629
224.8223,121.89989,132.61091
224.8232,121.88024,132.58556
224.82417,121.85906,132.55826
224.82507,121.83939,132.53294
224.82597,121.81968,132.50763
224.82687,121.79995,132.48233
224.82777,121.78023,132.45707
224.82867,121.76048,132.4318
224.82959,121.74072,132.40657
224.83049,121.72093,132.38134
224.83139,121.70115,132.35614
224.83237,121.67981,132.32901
224.83327,121.65999,132.30384
224.83417,121.66499,132.30226
224.83507,121.67982,132.31003
224.83597,121.69464,132.31781
224.83687,121.70947,132.32559
224.83778,121.72427,132.33336
224.83868,121.73911,132.34117
224.83958,121.75393,132.34897
224.84048,121.76875,132.35677
224.84146,121.78469,132.36517
224.84236,121.7995,132.37299
224.84326,121.81431,132.38081
224.84416,121.82914,132.38864
224.84506,121.84393,132.39647
224.84598,121.85874,132.40432
224.84688,121.87354,132.41216
224.84778,121.88835,132.42001
224.84868,121.90315,132.42788
224.84966,121.91908,132.43635
224.85056,121.93431,132.44601
224.85146,121.95016,132.4583
224.85236,121.96599,132.47058
224.85327,121.98184,132.48288
224.85417,121.99768,132.49519
224.85507,122.01351,132.50749
224.85597,122.02933,132.51982
224.85687,122.04514,132.53213
224.85777,122.06096,132.54446
224.85875,122.07801,132.55778
224.85965,122.0938,132.57012
224.86055,122.10962,132.58249
224.86147,122.1254,132.59484
224.86237,122.14121,132.60723
224.86327,122.15701,132.61961
224.86417,122.17279,132.63201
224.86507,122.18858,132.64441
224.86597,122.20437,132.65683
224.86694,122.22123,132.6696
224.86784,122.2358,132.67602
224.86874,122.25038,132.68246
224.86966,122.26495,132.68891
224.87056,122.27951,132.69535
224.87146,122.29408,132.7018
224.87236,122.30865,132.70826
224.87326,122.32321,132.71472
224.87416,122.33779,132.72121
224.87508,122.35236,132.72768
224.87604,122.36804,132.73466
224.87694,122.38259,132.74114
224.87785,122.39717,132.74765
224.87875,122.41173,132.75415
224.87965,122.42628,132.76065
224.88055,122.44084,132.76716
224.88145,122.45539,132.77367
224.88235,122.46995,132.78019
224.88327,122.4845,132.78672
224.88423,122.47836,132.7771
224.88513,122.46539,132.76261
224.88605,122.45245,132.74818
224.88695,122.43946,132.7337
224.88785,122.4265,132.71927
224.88875,122.41351,132.70483
224.88965,122.40055,132.69039
224.89055,122.38756,132.67598
224.89146,122.37454,132.66154
224.89236,122.36154,132.64713
224.89333,122.34755,132.63163
224.89424,122.33453,132.61722
224.89514,122.32152,132.60283
224.89604,122.3085,132.58844
224.89694,122.29547,132.57407
224.89784,122.28245,132.5597
224.89874,122.26942,132.54533
224.89966,122.25636,132.53097
224.90056,122.23107,132.52616
224.90154,122.18478,132.53587
224.90244,122.1418,132.54491
224.90334,122.09884,132.55395
224.90424,122.05588,132.56304
224.90514,122.01291,132.57211
224.90604,121.97,132.58123
224.90695,121.92708,132.59036
224.90785,121.88418,132.59951
224.90875,121.84129,132.60868
224.90965,121.79842,132.61786
224.91063,121.75224,132.62778
224.91153,121.70939,132.637
224.91243,121.66656,132.64624
224.91333,121.62373,132.65551
224.91423,121.58092,132.66479
224.91515,121.53812,132.67409
224.91605,121.49533,132.68342
224.91695,121.45792,132.69497
224.91785,121.46829,132.7263
224.91882,121.47943,132.76002
224.91972,121.48975,132.79135
224.92062,121.50009,132.82271
224.92152,121.51038,132.85406
224.92242,121.52064,132.88541
224.92334,121.5309,132.91677
224.92514,121.55136,132.97953
224.92604,121.56155,133.01092
224.92694,121.57173,133.04231
224.92792,121.58267,133.07612
224.92882,121.5928,133.10752
224.92972,121.60291,133.13894
224.93062,121.613,133.17036
224.93153,121.6231,133.20181
224.93243,121.63317,133.23324
224.93333,121.6432,133.26468
224.93423,121.63521,133.25567
224.93513,121.62255,133.23614
224.93611,121.60888,133.2151
224.93701,121.59617,133.19556
224.93791,121.58349,133.17606
224.93881,121.57077,133.15655
224.93973,121.55805,133.13705
224.94063,121.54531,133.11755
224.94153,121.53259,133.09807
224.94243,121.51983,133.07859
224.94333,121.50707,133.05912
224.94423,121.49432,133.03966
224.9452,121.48056,133.0187
224.9461,121.46777,132.99925
224.94702,121.45498,132.97982
224.94792,121.44217,132.96038
224.94882,121.42935,132.94096
224.94972,121.41655,132.92154
224.95062,121.42043,132.90316
224.95152,121.44197,132.88584
224.95242,121.46354,132.86853
224.9534,121.48676,132.84989
224.9543,121.50833,132.83256
224.95522,121.52992,132.81525
224.95612,121.55148,132.79792
224.95702,121.57306,132.7806
224.95792,121.59465,132.76328
224.95882,121.61624,132.74596
224.95972,121.63784,132.72862
224.96063,121.65941,132.71128
224.96431,121.7475,132.64061
224.96521,121.76911,132.62327
224.96611,121.79074,132.60593
224.96701,121.81263,132.5913
224.96791,121.83584,132.58931
224.96883,121.85903,132.58731
224.96973,121.88225,132.58533
224.97069,121.90726,132.58321
224.9716,121.93047,132.58123
224.9725,121.95369,132.57926
224.9734,121.97692,132.57731
224.9743,122.00013,132.57536
224.9752,122.02337,132.57342
224.9761,122.04661,132.57149
224.97702,122.06983,132.56956
224.97792,122.09307,132.56764
224.97888,122.11811,132.56558
224.9798,122.14134,132.56367
224.9807,122.1646,132.56178
224.9816,122.18783,132.55988
224.9825,122.2111,132.55801
224.9834,122.23436,132.55614
224.9843,122.22563,132.55211
224.98521,122.21213,132.54775
224.98611,122.19863,132.54341
224.98701,122.18513,132.53908
224.98799,122.1706,132.53442
224.98889,122.15709,132.53009
224.98979,122.1436,132.52575
224.99069,122.1301,132.52143
224.9916,122.11659,132.51712
224.9925,122.10309,132.51281
224.99341,122.08958,132.5085
224.99431,122.07612,132.50421
224.99521,122.06261,132.49991
224.99619,122.04805,132.49527
224.99709,122.03456,132.491
224.99799,122.02106,132.48671
224.99889,122.00756,132.48243
224.99979,121.99405,132.47814
225.0007,121.99823,132.49057
225.0016,122.01614,132.51599
225.0025,122.03405,132.54144
225.0034,122.05193,132.56689
225.0043,122.0698,132.59236
225.00528,122.08905,132.61981
225.00618,122.10689,132.64532
225.00708,122.12472,132.67083
225.00798,122.14252,132.69636
