# GET [h], RA [h], DEC [deg]
224.76772,0.18185146,16.877036
224.76862,0.1812822,16.912486
224.76952,0.1807133,16.94796
224.77042,0.18014211,16.983426
224.77132,0.1795694,17.018894
224.7723,0.17895258,17.057072
224.7732,0.17837695,17.092548
224.7741,0.17779964,17.128029
224.775,0.17722175,17.163517
224.77591,0.17664197,17.198971
224.77681,0.1760617,17.234471
224.77771,0.17547802,17.269959
224.77861,0.17489419,17.305457
224.77951,0.17430772,17.340947
224.78041,0.1737197,17.376446
224.78139,0.17308685,17.414656
224.78229,0.17249718,17.450165
224.78319,0.1719045,17.48567
224.7841,0.17140928,17.503965
224.785,0.17096738,17.512609
224.7859,0.17052608,17.521285
224.7868,0.17008311,17.529977
224.7877,0.16963988,17.538693
224.7886,0.16919494,17.547419
224.78958,0.16871706,17.55683
224.79048,0.16827187,17.565613
224.79138,0.16782676,17.574435
224.7923,0.16738239,17.583214
224.7932,0.16693571,17.592073
224.7941,0.1664872,17.600944
224.795,0.16603817,17.609835
224.7959,0.16558951,17.618763
224.7968,0.16514127,17.627721
224.79778,0.164657,17.637346
224.79868,0.16420745,17.646357
224.79958,0.16375569,17.655363
224.80049,0.16300976,17.654222
224.80139,0.16166957,17.63265
224.80229,0.16032985,17.611081
224.80319,0.15899067,17.589517
224.8041,0.15765072,17.5679
224.805,0.15631097,17.546325
224.80591,0.15497084,17.524705
224.80687,0.15352653,17.501488
224.80779,0.15218726,17.479837
224.80869,0.15084662,17.45824
224.80959,0.14950444,17.436629
224.81049,0.14816363,17.415035
224.81139,0.14682193,17.393422
224.81229,0.14548012,17.371803
224.8132,0.14413918,17.350158
224.8141,0.14279717,17.328538
224.81506,0.14134996,17.30527
224.81598,0.140011,17.283602
224.81688,0.13876462,17.261941
224.81778,0.14146424,17.239573
224.81868,0.14416137,17.217186
224.81958,0.14685893,17.19481
224.82048,0.14955439,17.172407
224.8214,0.15225238,17.149966
224.8223,0.15494702,17.12757
224.8232,0.15763945,17.105156
224.82417,0.16053916,17.081015
224.82507,0.16322981,17.058587
224.82597,0.16592096,17.036162
224.82687,0.16861102,17.013735
224.82777,0.17129898,16.991288
224.82867,0.17398714,16.968851
224.82959,0.17667616,16.946345
224.83049,0.17936245,16.923898
224.83139,0.18204678,16.901429
224.83237,0.18493894,16.877211
224.83327,0.18762213,16.854741
224.83417,0.18769047,16.844193
224.83507,0.18672402,16.838372
224.83597,0.18575772,16.832555
224.83687,0.18479127,16.826743
224.83778,0.1838271,16.820909
224.83868,0.18285998,16.815091
224.83958,0.18189405,16.809279
224.84048,0.1809281,16.803465
224.84146,0.17988973,16.797197
224.84236,0.17892408,16.791389
224.84326,0.17795838,16.78558
224.84416,0.17699168,16.77977
224.84506,0.17602711,16.773974
224.84598,0.17506387,16.768127
224.84688,0.17409852,16.762323
224.84778,0.17313303,16.756527
224.84868,0.17216795,16.750732
224.84966,0.17113,16.744464
224.85056,0.17000628,16.741347
224.85146,0.1686529,16.742096
