# Time, Mode, Ch0, Ch1, Ch2, Ch3, Ch4, Ch5, Ch6, Ch7, Total, RA, DEC
222.367966,144.000000, 19.000000,  7.000000,  7.000000,  6.000000,  8.000000, 10.000000,  4.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.370178,144.000000, 20.000000,  6.000000, 12.000000,  6.000000,  7.000000,  4.000000,  6.000000, 34.000000,  0.000000,  2.719233, 16.912486
222.372375,144.000000, 17.000000,  7.000000,  4.000000,  8.000000,  8.000000, 11.000000,  8.000000, 24.000000,  0.000000,  2.719233, 16.912486
222.374588,144.000000, 18.000000,  6.000000,  8.000000,  7.000000, 11.000000,  5.000000,  9.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.376862,144.000000, 17.000000,  7.000000, 11.000000,  6.000000,  6.000000,  7.000000,  1.000000, 27.000000,  0.000000,  2.719233, 16.912486
222.379059,144.000000, 11.000000, 12.000000, 11.000000, 10.000000,  8.000000,  7.000000,  3.000000, 25.000000,  0.000000,  2.719233, 16.912486
222.381271,144.000000, 14.000000,  4.000000,  9.000000,  8.000000,  8.000000,  8.000000,  6.000000, 34.000000,  0.000000,  2.719233, 16.912486
222.383469,144.000000, 21.000000, 16.000000,  9.000000,  7.000000,  6.000000, 10.000000, 12.000000, 36.000000,  0.000000,  2.719233, 16.912486
222.385681,144.000000, 16.000000, 13.000000,  6.000000,  7.000000,  8.000000,  6.000000,  8.000000, 22.000000,  0.000000,  2.719233, 16.912486
222.387955,144.000000, 12.000000, 10.000000,  6.000000,  6.000000, 11.000000,  5.000000,  7.000000, 31.000000,  0.000000,  2.719233, 16.912486
222.390152,144.000000, 21.000000,  9.000000,  5.000000,  6.000000, 13.000000,  5.000000,  8.000000, 26.000000,  0.000000,  2.719233, 16.912486
222.392365,144.000000, 11.000000, 11.000000,  3.000000,  7.000000,  5.000000,  4.000000,  7.000000, 27.000000,  0.000000,  2.719233, 16.912486
222.394562,144.000000, 17.000000, 12.000000,  6.000000,  5.000000,  9.000000, 12.000000,  7.000000, 30.000000,  0.000000,  2.719233, 16.912486
222.396835,144.000000, 16.000000, 10.000000,  9.000000, 11.000000,  6.000000, 10.000000, 10.000000, 32.000000,  0.000000,  2.719233, 16.912486
222.399048,144.000000, 13.000000, 15.000000,  8.000000, 10.000000,  8.000000,  6.000000,  6.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.401245,144.000000, 14.000000,  7.000000,  7.000000,  8.000000,  6.000000,  9.000000,  9.000000, 34.000000,  0.000000,  2.719233, 16.912486
222.403458,144.000000,  8.000000,  6.000000,  5.000000,  7.000000, 10.000000,  9.000000, 10.000000, 33.000000,  0.000000,  2.719233, 16.912486
222.405655,144.000000, 13.000000,  9.000000, 11.000000,  6.000000,  4.000000,  9.000000,  6.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.407928,144.000000, 16.000000,  6.000000, 10.000000,  4.000000,  7.000000,  9.000000,  4.000000, 30.000000,  0.000000,  2.719233, 16.912486
222.410141,144.000000, 10.000000,  7.000000,  6.000000,  9.000000,  8.000000, 11.000000,  5.000000, 32.000000,  0.000000,  2.719233, 16.912486
222.412338,144.000000, 15.000000,  8.000000, 12.000000,  5.000000,  5.000000, 14.000000,  3.000000, 27.000000,  0.000000,  2.719233, 16.912486
222.414551,144.000000, 21.000000,  6.000000, 10.000000, 11.000000,  6.000000,  6.000000,  3.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.416824,144.000000, 12.000000, 12.000000, 13.000000,  8.000000,  6.000000,  9.000000,  7.000000, 25.000000,  0.000000,  2.719233, 16.912486
222.419022,144.000000, 14.000000, 11.000000,  9.000000,  9.000000,  8.000000,  6.000000,  8.000000, 31.000000,  0.000000,  2.719233, 16.912486
222.421234,144.000000, 20.000000, 13.000000, 10.000000, 12.000000,  7.000000,  6.000000, 10.000000, 28.000000,  0.000000,  2.719233, 16.912486
222.423431,144.000000, 13.000000, 14.000000, 12.000000, 10.000000, 12.000000, 11.000000,  6.000000, 35.000000,  0.000000,  2.719233, 16.912486
222.425644,144.000000, 10.000000, 10.000000,  5.000000,  8.000000, 11.000000,  4.000000,  4.000000, 37.000000,  0.000000,  2.719233, 16.912486
222.427917,144.000000, 10.000000, 11.000000, 12.000000,  8.000000,  8.000000,  9.000000, 11.000000, 27.000000,  0.000000,  2.719233, 16.912486
222.430115,144.000000, 16.000000, 11.000000, 10.000000, 15.000000,  5.000000,  9.000000,  7.000000, 35.000000,  0.000000,  2.719233, 16.912486
222.432327,144.000000, 20.000000,  9.000000,  8.000000,  6.000000,  9.000000, 14.000000, 10.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.434525,144.000000, 18.000000, 17.000000,  5.000000,  8.000000, 10.000000,  6.000000,  6.000000, 43.000000,  0.000000,  2.719233, 16.912486
222.436798,144.000000, 19.000000, 17.000000,  7.000000,  4.000000, 11.000000,  6.000000, 12.000000, 38.000000,  0.000000,  2.719233, 16.912486
222.439011,144.000000, 17.000000,  7.000000,  4.000000,  2.000000,  9.000000,  8.000000,  3.000000, 31.000000,  0.000000,  2.719233, 16.912486
222.441223,144.000000, 15.000000, 14.000000,  7.000000,  9.000000,  7.000000, 10.000000,  8.000000, 32.000000,  0.000000,  2.719233, 16.912486
222.443420,144.000000, 15.000000,  8.000000,  6.000000, 12.000000,  7.000000,  4.000000,  6.000000, 36.000000,  0.000000,  2.719233, 16.912486
222.445618,144.000000, 16.000000, 13.000000,  6.000000,  7.000000,  7.000000,  5.000000,  3.000000, 26.000000,  0.000000,  2.719233, 16.912486
222.447906,144.000000, 11.000000, 11.000000,  6.000000, 11.000000,  8.000000,  7.000000,  7.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.450104,144.000000, 12.000000,  7.000000, 11.000000,  9.000000,  6.000000, 10.000000,  8.000000, 24.000000,  0.000000,  2.719233, 16.912486
222.452301,144.000000, 11.000000, 13.000000,  8.000000,  9.000000, 16.000000,  9.000000,  8.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.454514,144.000000, 16.000000,  5.000000,  7.000000,  9.000000, 11.000000,  3.000000,  8.000000, 23.000000,  0.000000,  2.719233, 16.912486
222.456787,144.000000, 10.000000,  7.000000, 11.000000,  6.000000,  9.000000,  8.000000,  9.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.459000,144.000000, 11.000000,  6.000000,  5.000000, 10.000000,  7.000000, 12.000000, 11.000000, 35.000000,  0.000000,  2.719233, 16.912486
222.461197,144.000000, 17.000000,  9.000000, 11.000000, 11.000000,  7.000000,  5.000000,  9.000000, 34.000000,  0.000000,  2.719233, 16.912486
222.463409,144.000000, 16.000000, 10.000000,  6.000000, 10.000000,  9.000000, 12.000000,  6.000000, 41.000000,  0.000000,  2.719233, 16.912486
222.465607,144.000000, 17.000000,  7.000000,  7.000000,  7.000000,  6.000000, 12.000000, 12.000000, 27.000000,  0.000000,  2.719233, 16.912486
